,Team,Player,G,W,L,WR,K,D,A,KDA,CS,CSPM,G,GPM,KPAR,KS,GS,CP,Champs
0,100 Thieves,Amazing,19,8,11,42.1%,1.53,2.63,6.37,3,163.11,4.76,10.4,303,82%,15.8%,17.8%,6,
1,100 Thieves,aphromoo,19,8,11,42.1%,0.95,2.42,6.47,3.07,32.05,0.94,8.1,237,77%,9.8%,14%,11,
2,100 Thieves,Bang,19,8,11,42.1%,2.37,1.47,5.05,5.04,314.32,9.17,14.1,412,77%,24.6%,24.2%,8,
3,100 Thieves,FakeGod,15,8,7,53.3%,1.93,2.53,4.13,2.39,255.67,7.41,12.4,361,55.8%,17.8%,20.8%,9,
4,100 Thieves,Ryu,15,8,7,53.3%,3.33,2.4,3.73,2.94,298.53,8.65,13.7,396,65%,30.7%,22.8%,8,
5,100 Thieves,Soligo,4,0,4,0%,1.75,2,1.5,1.63,288.25,8.64,12.1,363,65%,35%,23.1%,3,
6,100 Thieves,Ssumday,4,0,4,0%,1.25,3.25,1.5,0.85,262.75,7.87,11.7,350,55%,25%,22.3%,4,
7,Cloud9,Nisqy,19,13,6,68.4%,4.26,1.79,6.05,5.76,264.53,8.11,13.3,406,69%,28.5%,22.2%,10,
8,Cloud9,Zeyzal,19,13,6,68.4%,0.89,1.79,9.74,5.94,45.89,1.41,8.5,261,71.1%,6%,14.3%,9,
9,Cloud9,Sneaky,17,12,5,70.6%,3.53,1.65,5.76,5.64,278.47,8.44,13.9,421,62.7%,23.8%,23%,8,
10,Cloud9,Svenskeren,15,11,4,73.3%,2.6,2.33,8,4.54,156.13,4.98,10.7,342,72.3%,17.7%,18.6%,8,
11,Cloud9,Licorice,15,10,5,66.7%,3.07,2,5.47,4.27,269.47,8.48,12.9,404,58.7%,21.1%,21.9%,8,
12,Cloud9,Deftly,10,5,5,50%,3,1.9,5.7,4.58,302.4,8.93,14.3,421,68%,23.4%,23.2%,5,
13,Cloud9,Kumo,4,3,1,75%,4.5,2.5,5.75,4.1,256,7.15,14,390,62.1%,27.3%,22.1%,2,
14,Cloud9,Blaber,4,2,2,50%,3.25,2.5,8.25,4.6,190.5,5.1,12.6,337,71.9%,20.3%,18.8%,3,
15,Clutch Gaming,Cody Sun,18,9,9,50%,3.33,1.44,3.94,5.04,321.72,9.54,14.8,437,67.5%,30.9%,24.7%,9,
16,Clutch Gaming,Damonte,18,9,9,50%,2.72,1.78,3.89,3.72,279.06,8.27,12.9,383,61.3%,25.3%,21.6%,12,
17,Clutch Gaming,Huni,18,9,9,50%,2.72,2.33,4.56,3.12,273.22,8.1,13,384,67.5%,25.3%,21.7%,8,
18,Clutch Gaming,Lira,18,9,9,50%,1.39,2.28,6,3.24,176.17,5.22,10.9,324,68.6%,12.9%,18.3%,9,
19,Clutch Gaming,Vulcan,18,9,9,50%,0.61,2.56,7,2.98,43.17,1.28,8.2,243,70.6%,5.7%,13.7%,6,
20,Counter Logic Gaming,Biofrost,19,12,7,63.2%,1.16,1.79,7.16,4.65,48.74,1.47,8.5,258,73.5%,10.2%,14.2%,9,
21,Counter Logic Gaming,PowerOfEvil,19,12,7,63.2%,2.58,1.53,4.68,4.76,301.63,9.1,13.5,408,64.2%,22.8%,22.5%,8,
22,Counter Logic Gaming,Ruin,19,12,7,63.2%,2.68,2.84,3.79,2.28,280,8.45,13.4,404,57.2%,23.7%,22.3%,11,
23,Counter Logic Gaming,Stixxay,19,12,7,63.2%,2.68,1.58,4.26,4.4,308.95,9.33,14,423,61.4%,23.7%,23.3%,6,
24,Counter Logic Gaming,Wiggily,19,12,7,63.2%,2.21,2.05,6.16,4.08,157.68,4.76,10.6,321,74%,19.5%,17.7%,8,
25,Echo Fox,Hakuho,18,4,14,22.2%,0.83,2.28,5.94,2.98,50.67,1.45,8.6,247,74.4%,9.1%,14.4%,7,
26,Echo Fox,Apollo,14,3,11,21.4%,3.14,2.64,3.71,2.59,318.5,8.92,14.6,408,72.7%,33.3%,23.8%,6,
27,Echo Fox,Fenix,14,3,11,21.4%,2.64,2.43,3.93,2.71,319.57,8.95,14.1,395,69.7%,28%,23%,10,
28,Echo Fox,Solo,12,3,9,25%,2.25,3.17,3.83,1.92,331.5,9.08,14.8,404,67%,24.8%,23.5%,5,
29,Echo Fox,MikeYeung,10,2,8,20%,0.9,4.6,3,0.85,151.6,4.26,9.9,277,47.6%,11%,16.3%,6,
30,Echo Fox,Lourlo,6,1,5,16.7%,1.17,2.83,3.83,1.76,223.33,7,10.7,335,54.5%,12.7%,19.9%,4,
31,Echo Fox,Rush,6,1,5,16.7%,0.83,4.17,5.5,1.52,166.67,4.81,10.4,300,65.5%,8.6%,17.3%,5,
32,Echo Fox,Lost,4,1,3,25%,2.25,2.25,3,2.33,304.5,9.4,12.8,395,65.6%,28.1%,23.4%,3,
33,Echo Fox,Yusui,4,1,3,25%,2.25,3,1.75,1.33,264.5,8.17,12,369,50%,28.1%,21.9%,4,
34,Echo Fox,Panda,2,1,1,50%,1,3,6,2.33,133,4.07,9.1,280,58.3%,8.3%,16.4%,2,
35,FlyQuest,Pobelter,18,5,13,27.8%,1.56,2.44,4.44,2.45,309.5,9.25,13.1,391,71.1%,18.4%,23%,9,
36,FlyQuest,Santorin,18,5,13,27.8%,2.17,1.72,4.78,4.03,164.11,4.91,10.3,308,82.2%,25.7%,18.1%,9,
37,FlyQuest,V1per,18,5,13,27.8%,2.28,2.33,3.61,2.52,289.83,8.66,12.8,383,69.7%,27%,22.5%,11,
38,FlyQuest,WildTurtle,18,5,13,27.8%,2.11,1.44,3.61,3.96,321.89,9.62,13.6,405,67.8%,25%,23.8%,8,
39,FlyQuest,Wadid,12,4,8,33.3%,0.25,2.08,6.75,3.36,36.83,1.08,7.3,212,76.4%,2.7%,12.4%,7,
40,FlyQuest,JayJ,6,1,5,16.7%,0.5,3.33,4.5,1.5,32,1,7.1,222,71.4%,7.1%,13.2%,4,
41,Golden Guardians,Contractz,19,8,11,42.1%,2.16,2.68,5.84,2.98,156.89,4.66,10.6,315,72%,19.4%,17.8%,9,
42,Golden Guardians,Froggen,19,8,11,42.1%,3.11,2.32,5.11,3.55,285.47,8.48,13.3,396,73.9%,28%,22.4%,11,
43,Golden Guardians,Hauntzer,19,8,11,42.1%,2,2.26,3.95,2.63,294.47,8.75,13.4,399,53.6%,18%,22.6%,9,
44,Golden Guardians,FBI,11,4,7,36.4%,3.36,3.09,4.73,2.62,279.27,8.53,13.2,403,77.4%,32.2%,23.2%,6,
45,Golden Guardians,huhi,11,4,7,36.4%,0.82,3.27,7.91,2.67,57.55,1.76,8.1,248,83.5%,7.8%,14.3%,5,
46,Golden Guardians,Olleh,8,4,4,50%,0.88,3.75,6.25,1.9,64.75,1.85,8.6,246,59.4%,7.3%,13.6%,4,
47,OpTic Gaming,Arrow,20,10,10,50%,2.55,1.55,4.4,4.48,315.8,9.18,14.5,422,67.8%,24.9%,23.9%,6,
48,OpTic Gaming,Big,20,10,10,50%,0.55,2.5,6.45,2.8,40.65,1.18,8.1,236,68.3%,5.4%,13.4%,9,
49,OpTic Gaming,Dhokla,20,10,10,50%,2.4,1.85,2.9,2.86,275.25,8,13,379,51.7%,23.4%,21.5%,7,
50,OpTic Gaming,Meteos,20,10,10,50%,1.95,2.25,6.1,3.58,167.25,4.86,10.9,316,78.5%,19%,17.9%,7,
51,OpTic Gaming,Crown,18,9,9,50%,2.67,2.39,4.22,2.88,314.61,9.28,14.1,415,66.7%,25.8%,23.5%,9,
52,OpTic Gaming,Scarlet,2,1,1,50%,4,4,3.5,1.88,301.5,7.7,14.9,381,78.9%,42.1%,22%,1,
